,id,section,section_id,submitted,attempt,Confidence,Gender,Professional,Ethnicity,Interest
0,5518087,COSC 341 101 2020W,72450,2021-01-16 15:46:21 UTC,1,0.8571428571428571,2.0,1.25,1.5,0.3333333333333333
1,3500055,COSC 341 101 2020W,72450,2021-01-18 01:51:39 UTC,1,1.1428571428571428,1.8888888888888888,0.0,-1.5,0.5833333333333334
2,3378530,COSC 341 101 2020W,72450,2021-01-18 03:36:53 UTC,1,1.5714285714285714,2.0,2.0,0.5,1.4166666666666667
3,4122541,COSC 341 101 2020W,72450,2021-01-18 07:28:13 UTC,1,1.0,1.8888888888888888,1.0,0.0,1.3333333333333333
4,3261610,COSC 341 101 2020W,72450,2021-01-18 03:23:12 UTC,1,0.5714285714285714,1.6666666666666667,1.0,1.5,-0.5833333333333334
5,2154105,COSC 341 101 2020W,72450,2021-01-16 19:28:05 UTC,1,-1.2857142857142858,0.1111111111111111,0.0,1.0,-1.9166666666666667
6,2289297,COSC 341 101 2020W,72450,2021-01-18 06:16:57 UTC,1,0.42857142857142855,1.6666666666666667,1.0,-0.5,0.6666666666666666
7,7801377,COSC 341 101 2020W,72450,2021-01-18 06:07:33 UTC,1,0.8571428571428571,2.0,1.0,-1.0,0.4166666666666667
8,9414327,COSC 341 101 2020W,72450,2021-01-18 06:09:45 UTC,1,1.0,1.1111111111111112,1.0,0.0,0.6666666666666666
9,7926633,COSC 341 101 2020W,72450,2021-01-18 05:18:38 UTC,1,0.8571428571428571,1.3333333333333333,0.0,0.0,0.6666666666666666
10,2744491,COSC 341 101 2020W,72450,2021-01-18 07:47:53 UTC,1,-0.5714285714285714,1.6666666666666667,2.0,0.0,0.4166666666666667
11,3628601,COSC 341 101 2020W,72450,2021-01-18 03:35:07 UTC,1,1.1428571428571428,1.5555555555555556,1.0,1.0,0.75
12,8393527,COSC 341 101 2020W,72450,2021-01-18 06:53:52 UTC,1,1.2857142857142858,1.3333333333333333,0.5,1.5,0.16666666666666666
13,6529327,COSC 341 101 2020W,72450,2021-01-18 03:42:44 UTC,1,0.5714285714285714,2.0,0.0,0.5,0.6666666666666666
14,8830004,COSC 341 101 2020W,72450,2021-01-16 16:02:15 UTC,1,1.7142857142857142,2.0,1.75,-1.0,1.5833333333333333
15,8371181,COSC 341 101 2020W,72450,2021-01-17 01:05:15 UTC,1,0.7142857142857143,1.2222222222222223,0.5,1.0,0.8333333333333334
16,7894105,COSC 341 101 2020W,72450,2021-01-16 06:35:25 UTC,1,0.5714285714285714,1.3333333333333333,1.25,-1.0,0.6666666666666666
17,4922245,COSC 341 101 2020W,72450,2021-01-16 05:33:42 UTC,1,0.5714285714285714,2.0,0.75,0.0,0.8333333333333334
18,4262104,COSC 341 101 2020W,72450,2021-01-16 05:27:32 UTC,1,1.1428571428571428,2.0,1.25,1.0,0.4166666666666667
19,7748571,COSC 341 101 2020W,72450,2021-01-16 04:55:36 UTC,1,0.5714285714285714,1.4444444444444444,0.0,0.0,0.0
20,9002921,COSC 341 101 2020W,72450,2021-01-16 04:33:45 UTC,1,0.7142857142857143,0.8888888888888888,1.5,-1.0,0.8333333333333334
21,1784979,COSC 341 101 2020W,72450,2021-01-16 04:31:08 UTC,1,1.0,1.5555555555555556,0.75,0.0,0.5833333333333334
22,4731217,COSC 341 101 2020W,72450,2021-01-16 03:30:42 UTC,1,1.4285714285714286,2.0,1.5,1.0,0.9166666666666666
23,1702317,COSC 341 101 2020W,72450,2021-01-16 03:16:56 UTC,1,1.0,2.0,1.25,0.5,1.0833333333333333
24,2647670,COSC 341 101 2020W,72450,2021-01-16 02:53:38 UTC,1,0.5714285714285714,2.0,1.25,0.0,0.6666666666666666
25,6311520,COSC 341 101 2020W,72450,2021-01-16 02:03:48 UTC,1,0.5714285714285714,2.0,1.25,0.5,0.0
26,5274956,COSC 341 101 2020W,72450,2021-01-16 02:03:25 UTC,1,1.7142857142857142,2.0,1.0,0.0,1.6666666666666667
27,9245857,COSC 341 101 2020W,72450,2021-01-16 01:37:31 UTC,1,1.2857142857142858,2.0,1.25,0.0,1.4166666666666667
28,4411549,COSC 341 101 2020W,72450,2021-01-16 01:26:02 UTC,1,1.0,2.0,1.0,1.5,0.6666666666666666
29,8519179,COSC 341 101 2020W,72450,2021-01-16 01:22:53 UTC,1,1.4285714285714286,2.0,1.25,1.0,1.4166666666666667
30,4950537,COSC 341 101 2020W,72450,2021-01-16 01:09:01 UTC,1,1.5714285714285714,2.0,2.0,0.0,1.3333333333333333
31,2638547,COSC 341 101 2020W,72450,2021-01-16 01:03:03 UTC,1,0.7142857142857143,2.0,1.25,0.0,0.8333333333333334
32,5826040,COSC 341 101 2020W,72450,2021-01-16 00:57:32 UTC,1,0.7142857142857143,1.8888888888888888,1.5,0.0,0.8333333333333334
33,2302599,COSC 341 101 2020W,72450,2021-01-16 00:55:31 UTC,1,0.7142857142857143,1.6666666666666667,0.75,0.0,0.5
